outcome,window,model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
log_shares,joint,LinearRegression,0.03597020150539274,0.00375564468556913,2.318163943485152,0.3233138251210041
log_shares,joint,RandomForest,0.08288016743120788,0.004603242448535988,2.261117006325527,0.33606838623995744
log_shares,joint,GradientBoosting,0.081640744102972,0.010236257076855168,2.262757781637094,0.37955057124682573
log_comments,joint,LinearRegression,0.024622394784976697,0.012215007882062541,1.6095959356870733,0.31008340097909043
log_comments,joint,RandomForest,0.07478134257302897,0.014812125647368467,1.567804532161168,0.3241770105082527
log_comments,joint,GradientBoosting,0.06876953811945208,0.011895436758284425,1.5728827025498588,0.32011062631480974
log_shares,early,LinearRegression,0.0043566778539829935,0.0028692287229384558,2.3558765192743096,0.3302220865666488
log_shares,early,RandomForest,0.030386131696512074,0.007827172997957444,2.3248525130308764,0.32896832168623535
log_shares,early,GradientBoosting,0.01588968656902816,0.006932658322231049,2.342161225415622,0.32544184160770445
log_shares,whole,LinearRegression,0.007826518352071843,0.0015633149797076513,2.3517507362751697,0.322060541841204
log_shares,whole,RandomForest,0.04520101801145069,0.010370032688588493,2.3070597413933536,0.34808696283220547
log_shares,whole,GradientBoosting,0.034306041065461756,0.012435511728138764,2.320144602339555,0.3463409700500276
log_shares,late,LinearRegression,0.002963761287184652,0.0073355486810174385,2.35760969925233,0.36519594951441864
log_shares,late,RandomForest,0.018855369997370384,0.020413368642212795,2.338733615470556,0.4102331886185038
log_shares,late,GradientBoosting,0.016051927416624777,0.024436374002964372,2.3421486211083757,0.44252925711727253
log_comments,early,LinearRegression,0.007928148654864065,0.008355794832363268,1.6234961632203744,0.3314927138125414
log_comments,early,RandomForest,0.045012741879794316,0.010042020179017088,1.592911542998424,0.3330171531466884
log_comments,early,GradientBoosting,0.03975247351996421,0.005638291853344598,1.5971609779715736,0.3139249345529504
log_comments,whole,LinearRegression,0.011368250062710495,0.009888434256554605,1.6207158446472,0.3365192117901949
log_comments,whole,RandomForest,0.04707116139245833,0.012262118697112469,1.5909839520099958,0.3093227958347645
log_comments,whole,GradientBoosting,0.038166553182075624,0.0189290021733553,1.5980766026905822,0.27209091905814503
log_comments,late,LinearRegression,0.006135406409371646,0.009667582003840502,1.6250230932919945,0.339683939572781
log_comments,late,RandomForest,0.0326372120558339,0.015010356941482023,1.6030429022109431,0.32273866848172317
log_comments,late,GradientBoosting,0.031045269839470535,0.020894472549165544,1.6042289606989693,0.31798349170906604
